sampleID,thiaminase,common,species,area,haul,station
21-Psomes-2C,29.9,Pyrosomes,Pyrosoma atlanticum,Monterey Area,16,113
21-Psomes-2D,44.7,Pyrosomes,Pyrosoma atlanticum,Monterey Area,16,113
21-Psomes-2E,48.9,Pyrosomes,Pyrosoma atlanticum,Monterey Area,16,113
21-Psomes-3A,32.5,Pyrosomes,Pyrosoma atlanticum,Gulf of the Farallones region,54,132
21-Psomes-3B,34.8,Pyrosomes,Pyrosoma atlanticum,Gulf of the Farallones region,54,132
21-Psomes-3C,25.8,Pyrosomes,Pyrosoma atlanticum,Gulf of the Farallones region,54,132
21-Psomes-4A,29.3,Pyrosomes,Pyrosoma atlanticum,Point Sur,28,104
21-Psomes-4B,39.6,Pyrosomes,Pyrosoma atlanticum,Point Sur,28,104
21-Psomes-4C,21.9,Pyrosomes,Pyrosoma atlanticum,Point Sur,28,104
21-Salps-1A,NA,Thetys vagina,Thetys vagina,Point Reyes Area,63,174
21-Salps-1B,5.7,Thetys vagina,Thetys vagina,Point Reyes Area,63,174
