Common,Scientific,Source,Family,Order,Class,Tropical,Climate,Continent,Lit_confirmed,BLAST,Thiaminase,Marine,Habitat,Benthic,Benthopelagic,Pelagic,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3,Habitat2,Benthic,Benthopelagic,Pelagic,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3
Tongue Sole,Cynoglossus semilaevis,BLAST,Cynoglossidae,Pleuronectiformes,Actinopteri,0,Subtropical,Asia,0,1,0,1,BE,1,0,0,0,TL,3.7,61.1,NA,NA,BE,1,0,0,0,TL,4.1,82.6,30,0.366
Sand Weakfish,Cynoscion arenarius,Greig and Gnaedinger 1971,Sciaenidae,Eupercaria,Actinopteri,0,Subtropical,North America,1,NA,0,1,BE,1,0,0,0,TL,4.2,63.5,5,0.75,BE,1,0,0,0,TL,4.3,130,25,0.584
Spotfin Shiner,Cyprinella spiloptera,Boggs et al. 2019,Leuciscidae,Cypriniformes ,Actinopteri,0,Subtropical,North America,1,NA,1,0,BP,0,1,0,0,IN,2.8,12,5,NA,BE,1,0,0,0,TL,3.8,46,NA,0.37
White Sands Pupfish,Cyprinodon tularosa,BLAST,Cyprinodontidae,Cyprinodontiformes,Actinopteri,0,Subtropical,North America,0,1,1,0,BP,0,1,0,0,TL,2.7,5,5,NA,BE,1,0,0,0,TL,3.4,21.2,3,0.499
Sheepshead Minnow,Cyprinodon variegatus,BLAST,Cyprinodontidae,Cyprinodontiformes,Actinopteri,0,Subtropical,Worldwide,0,1,0,1,BP,0,1,0,0,TL,2.4,9,NA,0.731,PE,0,0,1,0,TL,4,100,60,1.29
Common Carp,Cyprinus carpio,"BLAST, Greig and Gnaedinger 1971, Fujita et al. 1954, Chaet and Bishop 1952, Gaedinger and Krzeczkowski 1966",Cyprinidae,Cypriniformes ,Actinopteri,0,Subtropical,Worldwide,1,1,1,0,BP,0,1,0,1,TL,3.1,120,38,0.709,BE,1,0,0,0,TL,3.9,66,20,0.354
Zebra Fish,Danio rerio,BLAST,Danionidae,Cypriniformes ,Actinopteri,1,Tropical,Asia,1,1,1,0,BP,0,1,0,0,IN,3.1,3.8,5.5,NA,BE,1,0,0,0,TL,3.2,70,NA,0.259
Denticle Herring,Denticeps clupeoides,BLAST,Denticipitidae,Clupeiformes,Actinopteri,1,Tropical,Africa,0,1,1,0,PE,0,0,1,0,IN,3.3,15,NA,NA,BE,1,0,0,0,TL,4.5,64,NA,0.645
Antarctic Toothfish,Dissostichus mawsoni,BLAST,Nototheniidae,Perciformes,Actinopteri,0,Polar,Antarctica,0,1,0,1,PE,0,0,1,0,TL,3.9,200,39,0.339,BE,1,0,0,0,TL,3.7,35,NA,0.387
Gizzard Shad,Dorosoma cepedianum,"Tillitt et al. 2005, Greig and Gnaedinger 1971, Boggs et al. 2019, Lepak et al. 2013, Zajicek et al. 2005, Gnaedinger and Krzeczkowski 1966",Clupeidae,Clupeiformes,Actinopteri,0,Subtropical,North America,1,NA,1,0,BP,0,1,0,1,TL,2.4,57,10,1.06,BE,1,0,0,0,TL,3.6,46,11,1.18
Live Sharksucker,Echeneis naucrates,BLAST,Echeneidae,Carangiformes,Actinopteri,0,Subtropical,Worldwide,0,1,0,1,BE,1,0,0,0,TL,3.7,110,NA,0.27,BE,1,0,0,0,TL,3.5,61,NA,0.911
Electric Eel,Electrophorus electricus,BLAST,Gymnotidae,Gymnotiformes,Actinopteri,1,Tropical,South America,0,1,1,0,BP,0,1,0,0,IN,3.9,250,NA,NA,BE,1,0,0,0,TL,3.2,36,4,0.684
NA,Eleotris oxycephala,Fujita 1954,Eleotridae,Gobiiformes,Actinopteri,0,Subtropical,Asia,1,NA,1,1,BE,1,0,0,0,TL,3.7,19,NA,NA,BE,1,0,0,0,TL,3.3,91,34,0.342
